Date;CD;LD;Total;Total cumulé
2010-07-01;299;2201;2500;1256506
2010-07-12;212;1482;1694;1276095
2010-07-17;482;820;1302;1283791
2010-07-23;314;1384;1698;1293537
2010-08-02;278;1221;1499;1307640
2010-08-05;329;1259;1588;1312323
2010-08-08;459;332;791;1315666
2010-08-13;306;1106;1412;1322879
2010-08-28;401;882;1283;1343377
2010-08-30;217;1844;2061;1346433
2010-09-01;260;2007;2267;1351034
2010-09-12;323;671;994;1373381
2010-09-18;649;1344;1993;1388360
2010-10-02;342;1213;1555;1419172
2010-10-10;483;741;1224;1432733
2010-10-11;251;2216;2467;1435200
2010-10-12;365;2779;3144;1438344
2010-10-16;422;1212;1634;1447993
2010-10-23;179;832;1011;1464088
2010-10-26;222;1922;2144;1469097
2010-11-22;125;2052;2177;1510094
2010-12-03;122;1773;1895;1529552
2010-12-19;51;296;347;1550430
2010-12-21;68;1250;1318;1552990
2010-12-22;48;865;913;1553903
2010-12-30;86;892;978;1558847
2011-01-01;51;166;217;1559839
2011-01-03;77;1540;1617;1561888
2011-01-10;115;1862;1977;1571315
2011-01-20;126;1877;2003;1588885
2011-01-24;101;1882;1983;1594305
2011-01-31;62;1512;1574;1604110
2011-02-08;128;2148;2276;1618007
2011-02-09;147;1947;2094;1620101
2011-02-14;109;1675;1784;1628053
2011-02-19;208;807;1015;1637422
2011-03-15;177;2311;2488;1675284
2011-03-17;179;2236;2415;1680098
2011-03-21;165;2130;2295;1686622
2011-03-23;162;2266;2428;1691478
2011-03-27;149;439;588;1698851
2011-04-07;336;2672;3008;1723008
2011-04-13;231;2260;2491;1736349
2011-04-16;560;1307;1867;1743811
2011-05-07;430;1113;1543;1787932
2011-05-27;644;3371;4015;1842739
2011-05-29;713;1055;1768;1847287
2011-05-30;225;2249;2474;1849761
2011-06-04;575;907;1482;1860619
2011-06-19;330;731;1061;1892109
2011-07-02;517;1224;1741;1924528
2011-07-14;770;896;1666;1950218
2011-07-20;130;1161;1291;1958815
2011-07-21;218;1846;2064;1960879
2011-07-25;270;1792;2062;1967666
2011-07-27;328;2008;2336;1972524
2011-07-28;319;2090;2409;1974933
2011-08-04;144;1014;1158;1987192
2011-09-05;301;2684;2985;2048070
2011-09-10;481;1443;1924;2062965
2011-10-12;505;3595;4100;2175224
2011-10-14;822;3919;4741;2184611
2011-11-01;565;1301;1866;2238307
2011-11-28;257;3245;3502;2327554
2011-12-08;252;3234;3486;2354337
2011-12-12;172;3059;3231;2363588
2011-12-20;159;2574;2733;2381335
2011-12-24;167;813;980;2389933
2011-12-26;168;1066;1234;2391446
2012-01-07;443;1766;2209;2414722
2012-01-17;152;2848;3000;2442832
2012-01-19;236;3027;3263;2448783
2012-01-28;492;1718;2210;2475155
2012-02-06;89;2024;2113;2493400
2012-02-10;188;2293;2481;2502830
2012-02-12;226;703;929;2505066
2012-02-27;238;3072;3310;2541203
2012-03-01;341;3542;3883;2552594
2012-03-04;327;900;1227;2559888
2012-03-14;304;3573;3877;2593365
2012-03-20;265;3430;3695;2611377
2012-03-22;258;3389;3647;2618021
2012-03-24;1448;2609;4057;2626238
2012-03-26;315;3549;3864;2632497
2012-03-30;617;3989;4606;2650141
2012-04-13;361;2684;3045;2691405
2012-04-14;601;1651;2252;2693657
2012-04-15;452;1125;1577;2695234
2012-04-17;162;1944;2106;2700009
2012-05-07;527;2493;3020;2752207
2012-05-27;919;1225;2144;2815347
2012-05-29;395;3922;4317;2821966
2012-06-02;878;2184;3062;2838721
2012-06-06;403;3455;3858;2851659
2012-06-09;687;1772;2459;2861912
2012-06-25;238;2781;3019;2916600
2012-07-07;499;1251;1750;2960731
2012-07-09;435;3176;3611;2966465
2012-07-11;528;2903;3431;2973702
2012-07-18;713;3292;4005;2996029
2012-08-04;684;1068;1752;3046907
2012-08-10;748;2243;2991;3063680
2012-08-25;701;1388;2089;3104451
2012-09-10;585;4190;4775;3165750
2012-09-14;886;4445;5331;3186480
2012-10-10;356;4043;4399;3295734
2012-10-21;420;1612;2032;3334445
2012-10-24;379;4776;5155;3348941
2012-10-27;534;2307;2841;3362365
2012-10-29;246;3394;3640;3368229
2012-11-06;285;3808;4093;3391159
2012-11-09;311;3164;3475;3403741
2012-11-17;560;2412;2972;3436735
2012-11-27;222;4531;4753;3477235
2012-11-30;341;4192;4533;3490847
2012-12-06;246;3953;4199;3510803
2012-12-19;127;2459;2586;3552341
2012-12-28;232;1652;1884;3570256
2012-12-30;363;912;1275;3573040
2013-01-09;179;3954;4133;3599500
2013-02-13;180;3370;3550;3708468
2013-02-22;270;3235;3505;3741938
2013-03-05;281;3302;3583;3768898
2013-03-10;517;1347;1864;3784224
2013-03-12;112;3461;3573;3790188
2013-03-29;217;2378;2595;3848074
2013-04-13;436;1787;2223;3891204
2013-04-21;1091;1760;2851;3924850
2013-04-23;326;3227;3553;3931939
2013-04-25;632;3837;4469;3940655
2013-05-04;944;2319;3263;3966090
2013-05-14;224;3742;3966;3996171
2013-05-20;260;1063;1323;4014828
2013-05-21;307;3826;4133;4018961
2013-05-25;864;2207;3071;4035300
2013-06-16;981;1682;2663;4121014
2013-07-07;937;1490;2427;4203262
2013-07-10;659;3603;4262;4215904
2013-07-27;630;1415;2045;4274478
2013-07-30;455;2758;3213;4282355
2013-08-15;1344;1239;2583;4330020
2013-08-17;1051;1354;2405;4334971
2013-08-20;677;3151;3828;4343085
2013-09-22;1184;2088;3272;4479639
2013-09-23;433;4464;4897;4484536
2013-09-26;636;4777;5413;4501249
2013-10-03;557;4733;5290;4532451
2013-10-04;733;5013;5746;4538197
2013-10-06;1010;2046;3056;4545247
2013-10-29;303;3473;3776;4639332
2013-11-05;199;3732;3931;4659017
2013-11-13;317;4580;4897;4685701
2013-11-26;188;4052;4240;4733936
2013-12-06;332;4150;4482;4773063
2013-12-13;306;3568;3874;4797004
2013-12-17;214;4063;4277;4810297
2013-12-29;367;867;1234;4833749
2014-01-03;170;2178;2348;4841675
2014-01-12;467;1347;1814;4867354
2014-02-08;244;1527;1771;4952390
2014-02-13;201;3056;3257;4965279
2014-02-14;246;2830;3076;4968355
2014-03-12;369;3573;3942;5051276
2014-03-26;208;3796;4004;5102861
2014-03-27;188;2941;3129;5105990
2014-03-30;851;1806;2657;5116801
2014-04-03;291;3447;3738;5133843
2014-04-24;434;4340;4774;5217568
2014-04-27;329;1156;1485;5227016
2014-05-08;605;1212;1817;5257241
2014-06-05;493;4651;5144;5359735
2014-06-10;457;4293;4750;5381920
2014-06-12;554;4682;5236;5391938
2014-06-14;994;2449;3443;5400562
2014-06-18;478;3966;4444;5416383
2014-06-20;706;4450;5156;5426543
2014-06-21;1316;2559;3875;5430418
2014-06-29;607;1323;1930;5461359
2014-07-11;666;3513;4179;5508870
2014-07-18;806;3521;4327;5533975
2014-07-22;658;3648;4306;5547701
2014-07-24;518;2927;3445;5555183
2014-08-03;1264;1199;2463;5588285
2014-08-06;621;2323;2944;5597804
2014-08-25;305;1992;2297;5650811
2014-09-05;856;4663;5519;5699359
2014-09-06;1246;2645;3891;5703250
2014-09-07;1092;1892;2984;5706234
2014-09-08;528;4475;5003;5711237
2014-10-02;616;5739;6355;5840902
2014-10-12;559;1420;1979;5880523
2014-10-22;497;4289;4786;5925480
2014-11-06;355;4425;4780;5984727
2014-11-07;403;4077;4480;5989207
2014-11-08;447;1563;2010;5991217
2014-11-09;999;1706;2705;5993922
2014-11-10;531;3192;3723;5997645
2014-11-11;441;1241;1682;5999327
2014-11-20;404;4639;5043;6036091
2014-11-28;525;4655;5180;6069500
2014-12-09;210;4012;4222;6109677
2014-12-10;241;3743;3984;6113661
2014-12-11;257;3779;4036;6117697
2014-12-12;271;3188;3459;6121156
2014-12-17;200;3723;3923;6136758
2014-12-20;492;2438;2930;6146806
2014-12-22;228;2568;2796;6151609
2014-12-25;141;290;431;6156366
2014-12-26;134;973;1107;6157473
2014-12-28;242;703;945;6159724
2015-01-03;189;1046;1235;6168381
2015-01-05;143;3349;3492;6173308
2015-01-07;193;3659;3852;6180695
2015-01-15;165;2297;2462;6204509
2015-02-01;401;1482;1883;6254969
2015-02-04;203;3260;3463;6265207
2015-02-26;212;2954;3166;6327365
2015-03-04;242;3724;3966;6346465
2015-03-05;366;4098;4464;6350929
2015-03-14;622;2126;2748;6385177
2015-03-17;392;4320;4712;6396073
2015-04-13;491;3520;4011;6488729
2015-04-30;178;2178;2356;6551746
2015-05-01;663;1037;1700;6553446
2015-05-24;1321;1616;2937;6633889
2015-06-12;540;3320;3860;6716149
2015-06-19;750;4315;5065;6745560
2015-06-22;524;3816;4340;6756792
2015-07-04;1284;2331;3615;6809397
2015-07-05;1030;1563;2593;6811990
2015-07-17;665;3258;3923;6858066
2015-07-26;437;816;1253;6888423
2015-07-27;514;2709;3223;6891646
2015-07-30;781;3413;4194;6902162
2015-07-31;766;3156;3922;6906084
2015-08-04;788;2819;3607;6918143
2015-08-13;789;2423;3212;6947787
2015-09-07;633;4133;4766;7034928
2015-09-18;605;3967;4572;7083202
2015-09-21;408;4223;4631;7095633
2015-09-24;493;4835;5328;7110254
2015-09-28;438;4382;4820;7127530
2015-09-30;497;4765;5262;7138060
2015-10-01;585;5116;5701;7143761
2015-10-06;234;3524;3758;7162174
2015-10-12;342;4257;4599;7189761
2015-10-30;661;3689;4350;7261989
2015-11-02;351;4207;4558;7273331
2015-11-04;396;4335;4731;7282505
2015-11-09;405;4334;4739;7301741
2015-11-11;810;2420;3230;7310231
2015-12-06;514;1707;2221;7401763
2016-01-07;244;3922;4166;7497796
2016-01-10;370;1332;1702;7505976
2016-01-22;280;2584;2864;7547484
2016-01-23;560;2219;2779;7550263
2016-01-28;275;3456;3731;7568762
2016-02-01;221;3709;3930;7579481
2016-02-03;266;3913;4179;7587600
2016-02-08;126;2502;2628;7603678
2016-02-09;124;2226;2350;7606028
2016-02-12;334;2947;3281;7616456
2016-02-16;309;3098;3407;7626352
2016-02-22;126;3185;3311;7642590
2016-03-10;248;3853;4101;7699776
2016-03-12;748;2236;2984;7707050
2016-03-17;457;4431;4888;7726453
2016-04-04;311;3220;3531;7786908
2016-04-15;615;3435;4050;7825666
2016-04-20;498;4182;4680;7845693
2016-04-26;297;4012;4309;7869283
2016-04-27;396;4170;4566;7873849
2016-05-04;594;4486;5080;7905773
2016-05-05;1246;2137;3383;7909156
2016-05-06;1117;2432;3549;7912705
2016-05-08;821;1387;2208;7917750
2016-05-12;440;3957;4397;7934955
2016-05-22;438;1264;1702;7972579
2016-05-26;858;5226;6084;7993451
2016-06-04;1018;2613;3631;8031996
2016-07-01;679;3974;4653;8150908
2016-07-06;814;4632;5446;8171600
2016-07-19;616;3659;4275;8225326
2016-08-05;974;3247;4221;8296581
2016-08-08;789;2848;3637;8305336
2016-08-17;867;3334;4201;8337239
2016-08-21;1007;1604;2611;8350393
2016-09-05;600;4460;5060;8417181
2016-09-10;1148;2635;3783;8444722
2016-09-18;1036;2049;3085;8481129
2016-10-17;329;4199;4528;8624759
2016-10-24;227;2970;3197;8653380
2016-11-05;729;2688;3417;8700494
2016-11-06;619;1666;2285;8702779
2016-11-16;262;3755;4017;8741338
2016-11-18;261;3703;3964;8750062
2016-11-26;708;2529;3237;8777029
2016-12-07;223;4129;4352;8817313
2016-12-09;376;4384;4760;8826774
2016-12-11;470;1442;1912;8831757
2016-12-19;176;2863;3039;8862084
2016-12-23;282;2378;2660;8874326
2016-12-25;144;278;422;8875836
2017-01-15;296;1044;1340;8929487
2017-01-17;189;3713;3902;8936219
2017-01-23;126;3191;3317;8953063
2017-01-30;96;2418;2514;8973712
2017-02-13;206;2961;3167;9015565
2017-03-05;352;1072;1424;9074550
2017-03-09;290;4013;4303;9088090
2017-03-14;296;4250;4546;9105663
2017-03-29;382;4331;4713;9162757
2017-04-12;531;3783;4314;9219696
2017-04-13;628;3720;4348;9224044
2017-05-09;365;4107;4472;9311432
2017-05-20;834;2400;3234;9353669
2017-05-23;511;4588;5099;9365847
2017-05-25;1240;1828;3068;9373799
2017-06-06;258;3739;3997;9415865
2017-07-05;689;3904;4593;9535460
2017-07-20;636;3828;4464;9590356
2017-08-06;1187;1202;2389;9643463
2017-08-16;857;2679;3536;9673604
2017-08-17;410;2167;2577;9676181
2017-08-23;697;3277;3974;9696154
2017-08-31;557;3695;4252;9724378
2017-09-09;644;1957;2601;9756547
2017-09-12;675;4496;5171;9767687
2017-09-22;728;4461;5189;9809158
2017-09-24;961;1719;2680;9815872
2017-09-30;964;2193;3157;9841515
2017-10-07;1050;2294;3344;9869565
2017-10-18;396;4269;4665;9915284
2017-10-26;660;4014;4674;9949111
2017-11-09;285;4087;4372;9995456
2017-11-15;293;3863;4156;10016184
2017-11-25;772;1971;2743;10052783
2017-11-29;207;3540;3747;10065635
2017-11-30;248;3484;3732;10069367
2017-12-07;145;2329;2474;10090882
2017-12-16;459;1921;2380;10116596
2017-12-26;75;773;848;10140400
2017-12-30;152;857;1009;10146479
2018-01-05;178;2549;2727;10155846
2018-01-13;428;1777;2205;10178260
2018-01-20;258;1209;1467;10197140
2018-02-04;224;953;1177;10237791
2018-02-17;475;1647;2122;10271983
2018-02-22;240;3294;3534;10286398
2018-03-10;442;1494;1936;10321161
2018-03-28;136;2450;2586;10369651
2018-04-04;156;2621;2777;10383174
2018-04-05;254;3442;3696;10386870
2018-04-30;292;1840;2132;10464107
2018-05-14;169;2885;3054;10496856
2018-05-18;446;3527;3973;10512851
2018-05-21;559;1499;2058;10519379
2018-05-24;362;3716;4078;10531551
2018-06-02;801;1893;2694;10559754
2018-06-25;341;3185;3526;10629150
2018-06-28;392;3643;4035;10640834
2018-06-29;511;3387;3898;10644732
2018-07-13;597;3031;3628;10688642
2018-07-19;301;2369;2670;10705772
2018-07-28;694;1188;1882;10729112
2018-08-06;359;1620;1979;10747653
2018-08-12;492;689;1181;10759618
2018-08-26;568;1045;1613;10788969
2018-09-08;962;2230;3192;10831372
2018-09-19;374;4169;4543;10874306
2018-09-25;338;4352;4690;10895812
2018-10-15;215;3626;3841;10972699
2018-10-17;160;3697;3857;10981040
2018-10-27;529;1881;2410;11016817
2018-11-03;680;1767;2447;11034648
2018-11-12;122;3481;3603;11062157
2018-11-14;183;3641;3824;11070079
2018-11-16;237;3775;4012;11078342
2018-12-10;92;3311;3403;11145479
2018-12-14;183;3308;3491;11160103
2019-01-30;75;3371;3446;11276850
2019-02-04;36;1841;1877;11289613
2019-02-10;177;1085;1262;11305628
2019-02-22;247;3255;3502;11342955
2019-02-23;729;2554;3283;11346238
2019-03-07;94;3706;3800;11385585
2019-03-13;99;3435;3534;11403365
2019-03-15;165;3287;3452;11410117
2019-04-09;220;3556;3776;11495418
2019-04-12;403;3706;4109;11506981
2019-04-15;171;2557;2728;11515146
2019-04-30;414;4746;5160;11570899
2019-05-04;519;2279;2798;11586037
2019-05-05;262;1704;1966;11588003
2019-05-07;274;3901;4175;11596067
2019-05-10;115;2981;3096;11605383
2019-05-21;211;4431;4642;11648889
2019-06-04;191;3241;3432;11705882
2019-07-12;681;3743;4424;11854873
2019-07-25;515;3731;4246;11907483
2019-07-26;386;2715;3101;11910584
2019-08-02;671;3227;3898;11935494
2019-08-15;1132;1581;2713;11976476
2019-08-17;311;974;1285;11980722
2019-08-22;683;3491;4174;11998334
2019-08-25;941;1695;2636;12007709
2019-09-02;394;3899;4293;12040077
2019-09-13;705;4827;5532;12090624
2019-09-25;164;2854;3018;12140598
2019-09-26;258;3752;4010;12144608
2019-10-04;542;4317;4859;12176456
2019-10-18;307;3627;3934;12229172
2019-10-27;252;911;1163;12256769
2019-10-31;325;3278;3603;12268674
2019-11-13;172;3353;3525;12309160
2019-11-22;221;3240;3461;12339411
2019-11-23;456;1947;2403;12341814
2019-11-25;105;3188;3293;12347038
2019-11-27;107;2922;3029;12352963
2019-12-05;271;3010;3281;12378538
2019-12-14;243;1827;2070;12404568
2019-12-29;397;904;1301;12435185
2019-12-31;261;1477;1738;12438728
2020-01-04;388;1756;2144;12446541
2020-01-12;262;1278;1540;12468299
2020-01-22;121;3093;3214;12499129
2020-01-25;380;2010;2390;12508603
2020-01-27;39;2565;2604;12512787
2020-02-15;395;1870;2265;12568785
2020-02-25;71;2333;2404;12593409
2020-03-03;55;3087;3142;12610275
2020-03-21;4;175;179;12646149
2020-03-27;13;237;250;12647474
2020-04-05;6;113;119;12649242
2020-04-08;7;321;328;12650052
2020-04-20;9;193;202;12653173
2020-05-06;38;439;477;12658201
2020-05-11;51;893;944;12660728
2020-05-29;381;2120;2501;12692674
2020-06-01;352;1368;1720;12698363
2020-06-06;886;2164;3050;12712955
2020-06-28;562;1510;2072;12769631
2020-07-17;837;3161;3998;12832045
2020-07-29;617;2958;3575;12872659
2020-08-02;1049;1467;2516;12885311
2020-08-03;814;2265;3079;12888390
2020-08-14;1007;2219;3226;12921753
2020-08-16;1009;1279;2288;12927348
2020-08-23;1107;1930;3037;12949359
2020-09-12;1276;3148;4424;13034163
2020-10-11;599;2071;2670;13159851
2020-10-24;365;1752;2117;13213193
2020-11-01;27;414;441;13231670
2020-11-05;59;1768;1827;13238719
2020-11-18;69;1688;1757;13259646
2020-11-22;97;1029;1126;13266640
2020-11-24;82;1927;2009;13270531
2020-11-26;68;2035;2103;13274627
2020-12-13;66;806;872;13306453
2020-12-18;79;2252;2331;13317139
2020-12-30;99;1049;1148;13329161
2021-01-05;59;1922;1981;13336019
2021-02-08;57;1986;2043;13396602
2021-02-12;35;1447;1482;13402756
2021-03-04;159;1978;2137;13443487
2021-03-06;350;1647;1997;13447348
2021-03-07;218;1306;1524;13448872
2021-03-09;101;2183;2284;13453347
2021-03-10;44;1825;1869;13455216
2021-03-23;145;2603;2748;13483164
2021-03-24;101;2479;2580;13485744
2021-04-08;115;2368;2483;13522418
2021-04-09;101;2365;2466;13524884
2021-04-28;142;2550;2692;13569493
2021-05-01;717;3261;3978;13578967
2021-05-12;124;1726;1850;13603066
2021-05-15;283;1236;1519;13608323
2021-05-25;161;2812;2973;13632589
2021-06-05;491;2405;2896;13666470
2021-06-07;205;3029;3234;13671886
2021-06-10;305;3959;4264;13684043
2021-06-12;410;2555;2965;13690836
2021-06-17;218;3556;3774;13707839
2021-06-26;282;2131;2413;13738247
2021-06-30;337;3688;4025;13751930
2021-07-02;389;3782;4171;13760730
2021-07-30;638;3196;3834;13855143
2021-08-01;700;1741;2441;13860873
2021-08-04;318;2056;2374;13868707
2021-08-05;424;2089;2513;13871220
2021-08-06;689;2484;3173;13874393
2021-08-16;619;2297;2916;13903669
2021-08-17;765;2392;3157;13906826
2021-08-19;737;2525;3262;13913407
2016-07-17;922;1368;2290;8216939
2016-07-26;924;4229;5153;8256118
2016-08-03;830;3079;3909;8288200
2016-08-06;1112;1814;2926;8299507
2016-08-11;1129;3188;4317;8317870
2016-09-11;945;1921;2866;8447588
2016-09-12;511;4746;5257;8452845
2016-09-17;965;2663;3628;8478044
2016-09-21;721;5192;5913;8498209
2016-10-02;1016;2012;3028;8554115
2016-10-06;642;5315;5957;8576947
2016-10-11;466;5072;5538;8600110
2016-10-19;354;4828;5182;8634933
2016-10-28;526;3662;4188;8670532
2016-11-04;411;4331;4742;8697077
2016-11-17;330;4430;4760;8746098
2016-11-19;452;1893;2345;8752407
2016-11-21;148;2863;3011;8756732
2016-11-23;154;3286;3440;8764898
2016-12-03;470;2211;2681;8802501
2017-01-02;93;2027;2120;8889676
2017-01-06;245;3312;3557;8904059
2017-01-07;361;1971;2332;8906391
2017-01-24;159;3529;3688;8956751
2017-01-29;337;1249;1586;8971198
2017-02-03;309;2976;3285;8986957
2017-02-10;316;3459;3775;9008985
2017-02-12;233;943;1176;9012398
2017-03-07;166;2844;3010;9080288
2017-03-16;419;4434;4853;9114872
2017-03-22;165;2703;2868;9135288
2017-03-27;351;3930;4281;9153406
2017-04-20;360;3256;3616;9245649
2017-05-02;297;3858;4155;9287234
2017-05-04;383;4263;4646;9296434
2017-05-10;295;3979;4274;9315706
2017-05-11;252;3588;3840;9319546
2017-06-13;485;4367;4852;9445850
2017-06-21;782;4404;5186;9480208
2017-07-02;782;1636;2418;9521921
2017-07-12;542;3756;4298;9562252
2017-07-13;698;3837;4535;9566787
2017-07-19;634;3401;4035;9585892
2017-08-02;811;3095;3906;9631832
2017-08-15;1482;1238;2720;9670068
2017-08-22;806;3218;4024;9692180
2017-08-30;346;2658;3004;9720126
2017-09-02;1086;2218;3304;9732022
2017-09-25;253;3563;3816;9819688
2017-10-21;676;1902;2578;9927343
2017-10-29;662;1216;1878;9958522
2017-10-31;500;3151;3651;9965408
2017-11-02;632;3216;3848;9971787
2017-11-05;498;1319;1817;9979234
2017-11-08;270;3858;4128;9991084
2017-11-10;407;4034;4441;9999897
2017-12-08;340;3541;3881;10094763
2017-12-11;140;2621;2761;10100556
2017-12-23;254;1412;1666;10138510
2017-12-31;181;555;736;10147215
2018-01-01;307;480;787;10148002
2018-01-02;89;1396;1485;10149487
2018-01-07;110;527;637;10158200
2018-01-08;120;3050;3170;10161370
2018-01-10;208;3453;3661;10168422
2018-01-12;298;3381;3679;10176055
2018-02-03;183;1309;1492;10236614
2018-02-08;187;3300;3487;10249653
2018-02-14;82;1972;2054;10263372
2018-03-05;124;2167;2291;10308194
2018-03-13;152;3409;3561;10328841
2018-03-21;195;2808;3003;10350112
2018-04-01;411;815;1226;10377029
2018-04-07;339;1241;1580;10392227
2018-04-12;324;3535;3859;10406981
2018-04-14;655;2035;2690;10413122
2018-04-18;442;3489;3931;10426127
2018-04-22;971;1734;2705;10441200
2018-05-03;281;2899;3180;10471571
2018-05-04;352;2960;3312;10474883
2018-05-06;661;1163;1824;10479145
2018-05-08;710;1356;2066;10483801
2018-05-17;370;3726;4096;10508878
2018-05-19;798;1829;2627;10515478
2018-05-31;238;3121;3359;10553105
2018-06-08;416;3134;3550;10577940
2018-06-16;579;1849;2428;10600235
2018-07-01;613;1306;1919;10649014
2018-07-02;213;2106;2319;10651333
2018-07-04;509;3469;3978;10659191
2018-07-05;519;3229;3748;10662939
2018-07-11;483;3120;3603;10681335
2018-07-20;515;2764;3279;10709051
2018-07-23;312;2188;2500;10715218
2018-07-24;415;2699;3114;10718332
2018-07-26;438;2578;3016;10724445
2018-08-07;407;1843;2250;10749903
2018-08-09;347;1723;2070;10754426
2018-08-10;493;1807;2300;10756726
2018-08-15;739;1034;1773;10765759
2018-08-18;632;1112;1744;10772528
2018-08-24;354;2396;2750;10785580
2018-08-25;502;1274;1776;10787356
2018-09-06;429;3735;4164;10823988
2018-09-11;388;3964;4352;10842276
2018-09-14;427;4037;4464;10855590
2018-09-21;524;4099;4623;10883615
2018-09-28;456;4201;4657;10909653
2018-10-01;212;3770;3982;10919051
2018-10-07;268;1170;1438;10941119
2018-10-08;323;3851;4174;10945293
2018-10-18;297;4259;4556;10985596
2018-10-29;160;2248;2408;11020695
2018-11-09;278;3418;3696;11055682
2018-11-26;99;3282;3381;11104930
2018-11-29;170;3520;3690;11115013
2018-12-04;121;3926;4047;11127984
2018-12-12;118;3428;3546;11153048
2018-12-21;116;1789;1905;11177565
2018-12-24;131;996;1127;11181697
2018-12-28;232;1839;2071;11187314
2018-12-30;322;867;1189;11190039
2019-01-06;159;1040;1199;11202809
2019-01-18;141;3551;3692;11242315
2019-01-20;265;1336;1601;11246368
2019-02-18;147;2495;2642;11330013
2019-02-26;211;4292;4503;11356897
2019-03-08;223;3610;3833;11389418
2019-03-10;358;1556;1914;11393254
2019-03-12;93;3005;3098;11399831
2019-03-14;116;3184;3300;11406665
2019-03-16;517;2274;2791;11412908
2019-03-27;134;3841;3975;11451537
2019-05-01;1012;2900;3912;11574811
2019-05-08;226;1873;2099;11598166
2019-05-12;349;2246;2595;11610922
2019-05-19;544;2129;2673;11640336
2019-05-25;1019;3375;4394;11667955
2019-06-08;586;2007;2593;11720374
2019-06-16;668;2020;2688;11747057
2019-06-23;675;1799;2474;11777221
2019-06-30;832;1792;2624;11802957
2019-07-05;505;4149;4654;11825635
2019-07-07;832;1885;2717;11831832
2019-07-18;444;4006;4450;11879934
2019-07-23;409;3577;3986;11899115
2019-08-01;614;3487;4101;11931596
2019-08-12;695;2258;2953;11967013
2019-08-19;552;2873;3425;11986332
2019-09-17;347;4910;5257;12106437
2019-10-03;437;4460;4897;12171597
2019-10-06;801;1944;2745;12182773
2019-10-08;176;3472;3648;12189662
2019-10-09;221;4069;4290;12193952
2019-10-16;116;2002;2118;12220786
2019-10-26;862;2524;3386;12255606
2019-11-01;448;1365;1813;12270487
2019-11-11;393;1435;1828;12301830
2019-11-21;109;2867;2976;12335950
2019-12-04;151;3406;3557;12375257
2019-12-11;98;2917;3015;12395950
2019-12-17;280;3487;3767;12412613
2020-01-06;106;2932;3038;12451307
2020-01-09;136;3024;3160;12459835
2020-01-14;65;1884;1949;12473082
2020-01-23;176;3391;3567;12502696
2020-01-24;171;3346;3517;12506213
2020-02-11;147;3351;3498;12556190
2020-02-12;133;3257;3390;12559580
2020-02-17;90;2720;2810;12572731
2020-02-28;146;2489;2635;12601402
2020-03-19;25;321;346;12645635
2020-04-06;11;232;243;12649485
2020-04-17;16;318;334;12652587
2020-04-18;35;246;281;12652868
2020-04-25;29;296;325;12654836
2020-05-04;19;397;416;12657229
2020-05-07;40;496;536;12658737
2020-05-17;278;920;1198;12669164
2020-05-31;418;1366;1784;12696643
2020-06-04;288;2432;2720;12707128
2020-06-22;527;2907;3434;12751021
2020-07-02;473;3148;3621;12782655
2020-07-13;1009;1915;2924;12817967
2020-07-20;506;2983;3489;12841621
2020-08-22;1160;1982;3142;12946322
2020-08-24;604;2729;3333;12952692
2020-08-28;602;2863;3465;12966631
2020-09-02;568;4311;4879;12986048
2020-09-05;1061;3018;4079;13000465
2020-09-13;911;2427;3338;13037501
2020-09-20;880;2376;3256;13072011
2020-09-21;399;4532;4931;13076942
2020-09-26;875;3159;4034;13100061
2020-10-18;896;2169;3065;13189947
2020-10-21;247;3408;3655;13201723
2020-11-06;58;1842;1900;13240619
2020-11-09;75;1837;1912;13244860
2020-11-16;57;1761;1818;13255745
2020-11-17;77;2067;2144;13257889
2020-11-20;90;2045;2135;13263844
2020-12-07;36;1416;1452;13294926
2021-01-02;119;862;981;13331921
2021-01-18;51;1963;2014;13359446
2021-01-19;62;2195;2257;13361703
2021-01-21;31;1429;1460;13365155
2021-01-23;140;1363;1503;13368796
2021-02-07;203;1161;1364;13394559
2021-02-21;321;1105;1426;13419891
2021-02-23;177;2244;2421;13424057
2021-02-26;263;2065;2328;13431071
2021-03-05;76;1788;1864;13445351
2021-03-15;86;2113;2199;13464592
2021-03-25;105;2579;2684;13488428
2021-04-10;79;1242;1321;13526205
2021-04-23;201;2691;2892;13556705
2021-04-30;165;2577;2742;13574989
2021-05-09;270;1488;1758;13596616
2021-05-16;151;888;1039;13609362
2021-05-17;80;1929;2009;13611371
2021-05-19;240;3458;3698;13617694
2021-05-27;178;3250;3428;13638511
2021-06-01;211;3363;3574;13654163
2021-06-11;273;3555;3828;13687871
2021-06-14;182;3001;3183;13696060
2021-06-23;290;3965;4255;13727302
2021-06-25;282;3719;4001;13735834
2021-07-05;163;2350;2513;13768721
2021-07-21;481;3062;3543;13824043
2021-07-29;621;3334;3955;13851309
2021-08-09;589;2099;2688;13882402
2021-08-11;729;2481;3210;13888725
2021-08-15;765;1684;2449;13900753
2021-08-21;632;1795;2427;13919395
2021-08-22;853;1827;2680;13922075
2021-08-27;747;3494;4241;13942245
2021-08-29;632;2279;2911;13948930
2008-04-24;5;13;18;26
2008-05-02;;93;93;170
2008-05-10;1661;125;1786;10147
2008-05-11;1778;82;1860;12007
2008-05-30;982;850;1832;37177
2008-06-03;669;817;1486;42114
2008-06-12;702;1113;1815;58605
2008-06-15;568;424;992;63459
